Player_Name,Team,Pos,GP,TOI,CF,CA,CF60,CA60,CF%,TMCF60,TMCA60,TMCF%,OppCF60,OppCA60,OppCF%,CF60 RelTM,CA60 RelTM,CF% RelTM,CSh%,CSv%,CPDO,TotFO,NZFO,DZFO,OZFO,NZFO%,DZFO%,OZFO%
JOAKIM NORDSTROM,Chicago,F(C),38,383:05:00,324,336,50.7,52.6,49.1,59.2,52.7,52.9,55.3,54.6,50.3,-8.49,-0.05,-3.8,1.2,96.7,98,358,112,209,37,31.3,58.4,10.3
DAN CARCILLO,Chicago,F(LW),39,317:31:00,293,295,55.4,55.7,49.8,59.2,51.7,53.4,53.6,55.3,49.2,-3.83,4.06,-3.6,3.8,97.3,101,315,102,124,89,32.4,39.4,28.3
KYLE CUMISKEY,Chicago,D,7,84:33:00,86,77,61,54.6,52.8,60.5,52.6,53.5,51.3,52.2,49.6,0.49,2,-0.7,2.3,96.1,98.4,84,28,24,32,33.3,28.6,38.1
ANDREW DESJARDINS,Chicago,F(C),69,648:05:00,529,607,49,56.2,46.6,57.2,56.1,50.5,53.4,54.5,49.5,-8.2,0.14,-3.9,2.6,97,99.7,572,221,222,129,38.6,38.8,22.6
DUNCAN KEITH,Chicago,D,80,1475:41:00,1610,1270,65.5,51.6,55.9,57.4,53.1,51.9,54.8,54.2,50.3,8.05,-1.48,4,3.9,95.9,99.8,1364,456,417,491,33.4,30.6,36
TEUVO TERAVAINEN,Chicago,F(LW),34,395:26:00,393,332,59.6,50.4,54.2,59.4,53,52.8,54.9,54.3,50.3,0.25,-2.67,1.4,2.8,97.9,100.7,354,145,82,127,41,23.2,35.9
MARIAN HOSSA,Chicago,F(RW),82,1119:48:00,1181,950,63.3,50.9,55.4,59.6,54.3,52.3,55.6,54.3,50.6,3.7,-3.38,3.1,4.6,96.4,101,1140,437,315,388,38.3,27.6,34
MARCUS KRUGER,Chicago,F(C),81,853:43:00,806,732,56.6,51.4,52.4,57.7,53,52.1,54.7,54.3,50.2,-1.07,-1.54,0.3,2.4,96.6,98.9,870,265,452,153,30.5,52,17.6
BRAD RICHARDS,Chicago,F(C),76,953:44:00,986,841,62,52.9,54,59.5,52.4,53.1,54.3,54.1,50.1,2.56,0.46,0.8,4.8,96.1,100.8,856,277,174,405,32.4,20.3,47.3
MICHAL ROZSIVAL,Chicago,D,65,1003:36:00,999,869,59.7,52,53.5,60.6,51.9,53.8,54.6,54.2,50.2,-0.83,0.04,-0.4,3.7,95.5,99.2,887,302,260,325,34,29.3,36.6
KRIS VERSTEEG,Chicago,F(RW),61,820:15:00,846,711,61.9,52,54.3,60.3,52.7,53.3,54.4,54.1,50.2,1.62,-0.73,1,4.4,96.6,101,784,261,171,352,33.3,21.8,44.9
BRANDON SAAD,Chicago,F(LW),82,1089:35:00,1100,953,60.6,52.5,53.6,61.2,52.4,53.9,55.1,54.4,50.4,-0.63,0.11,-0.3,4.3,96.1,100.4,1109,419,294,396,37.8,26.5,35.7
KIMMO TIMONEN,Chicago,D,16,179:11:00,150,187,50.2,62.6,44.5,60.7,52.6,53.6,54.4,55,49.7,-10.47,9.99,-9.1,1.3,97.9,99.2,192,74,41,77,38.5,21.4,40.1
DAVID RUNDBLAD,Chicago,D,49,581:11:00,623,469,64.3,48.4,57.1,59.7,52.7,53.1,52.7,54.4,49.2,4.63,-4.26,3.9,5,96.8,101.8,534,183,110,241,34.3,20.6,45.1
ANTOINE VERMETTE,Chicago,F(C),82,1095:44:00,974,1062,53.3,58.2,47.8,56.4,56.4,50,55.2,54.5,50.3,-3.1,1.73,-2.2,3.7,94.6,98.3,1154,385,358,411,33.4,31,35.6
JOHNNY ODUYA,Chicago,D,76,1343:27:00,1241,1183,55.4,52.8,51.2,62,51.4,54.7,55.2,54.5,50.3,-6.57,1.45,-3.5,3.5,96.4,100,1330,460,419,451,34.6,31.5,33.9
